Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2015,SH_TBS_INCD,,,PER_100000_POP,60.4
2016,SH_TBS_INCD,,,PER_100000_POP,60.6
2017,SH_TBS_INCD,,,PER_100000_POP,59.2
2018,SH_TBS_INCD,,,PER_100000_POP,56.2
2019,SH_TBS_INCD,,,PER_100000_POP,560.0
2015,SH_TBS_INCD,,M,PER_100000_POP,65.5
2016,SH_TBS_INCD,,M,PER_100000_POP,65.7
2017,SH_TBS_INCD,,M,PER_100000_POP,63.8
2018,SH_TBS_INCD,,M,PER_100000_POP,60.3
2019,SH_TBS_INCD,,M,PER_100000_POP,62.5
2015,SH_TBS_INCD,,F,PER_100000_POP,55.2
2016,SH_TBS_INCD,,F,PER_100000_POP,55.3
2017,SH_TBS_INCD,,F,PER_100000_POP,54.5
2018,SH_TBS_INCD,,F,PER_100000_POP,52.6
2019,SH_TBS_INCD,,F,PER_100000_POP,49.2
